case_id,health_profile,tier,category,sample_index,needle_position,expected_answer,expected_json,distractor_answers,target_prompt_tokens,estimated_prompt_tokens,prompt_hash
safety_preferences-fact_recall-70-0000,safety_preferences,0.7,fact_recall,0,0.05,SAFETY_PREFERENCES-FACT_RECALL-70-0000-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-FACT_RECALL-70-0000-KNEELOW"", ""evidence_id"": ""HEALTH-HABIT-70-0000""}",[],172415,171960,08257b9a37810e02
safety_preferences-needle_position-70-0001,safety_preferences,0.7,needle_position,1,0.05,SAFETY_PREFERENCES-NEEDLE_POSITION-70-0001-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-NEEDLE_POSITION-70-0001-KNEELOW"", ""evidence_id"": ""HEALTH-NEEDLE-70-0001""}",[],172415,171901,637fcc2d3beb065b
safety_preferences-multi_hop-70-0002,safety_preferences,0.7,multi_hop,2,,SAFETY_PREFERENCES-MULTI_HOP-70-0002-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-MULTI_HOP-70-0002-KNEELOW"", ""chain"": [""PLAN-SAFETY_PREFERENCES-70-0002"", ""SLOT-SAFETY_PREFERENCES-70-0002"", ""ROUTINE-SAFETY_PREFERENCES-70-0002""]}",[],172415,172412,ffb9195a023894a6
safety_preferences-instruction_following-70-0003,safety_preferences,0.7,instruction_following,3,0.1,SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-70-0003-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-70-0003-KNEELOW"", ""safety_phrase"": ""HEALTH-RULE-70-0003-NO-MEDICAL-ADVICE""}",[],172415,171914,85469f2558508cdf
safety_preferences-distractor_resistance-70-0004,safety_preferences,0.7,distractor_resistance,4,0.84,SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-70-0004-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-70-0004-KNEELOW"", ""evidence_id"": ""HEALTH-CURRENT-70-0004""}","[""OLD-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-70-0004-KNEELOW"", ""RELATED-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-70-0004-KNEELOW""]",172415,172334,62fa213e9513f6a0
safety_preferences-fact_recall-80-0000,safety_preferences,0.8,fact_recall,0,0.05,SAFETY_PREFERENCES-FACT_RECALL-80-0000-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-FACT_RECALL-80-0000-KNEELOW"", ""evidence_id"": ""HEALTH-HABIT-80-0000""}",[],197046,196554,cdf8ac2c1c70ce8b
safety_preferences-needle_position-80-0001,safety_preferences,0.8,needle_position,1,0.05,SAFETY_PREFERENCES-NEEDLE_POSITION-80-0001-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-NEEDLE_POSITION-80-0001-KNEELOW"", ""evidence_id"": ""HEALTH-NEEDLE-80-0001""}",[],197046,196517,989001b357046925
safety_preferences-multi_hop-80-0002,safety_preferences,0.8,multi_hop,2,,SAFETY_PREFERENCES-MULTI_HOP-80-0002-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-MULTI_HOP-80-0002-KNEELOW"", ""chain"": [""PLAN-SAFETY_PREFERENCES-80-0002"", ""SLOT-SAFETY_PREFERENCES-80-0002"", ""ROUTINE-SAFETY_PREFERENCES-80-0002""]}",[],197046,197015,b01131a07f6732d5
safety_preferences-instruction_following-80-0003,safety_preferences,0.8,instruction_following,3,0.1,SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-80-0003-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-80-0003-KNEELOW"", ""safety_phrase"": ""HEALTH-RULE-80-0003-NO-MEDICAL-ADVICE""}",[],197046,196572,90098a8fa0fb59ac
safety_preferences-distractor_resistance-80-0004,safety_preferences,0.8,distractor_resistance,4,0.84,SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-80-0004-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-80-0004-KNEELOW"", ""evidence_id"": ""HEALTH-CURRENT-80-0004""}","[""OLD-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-80-0004-KNEELOW"", ""RELATED-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-80-0004-KNEELOW""]",197046,196995,38339472396dccd5
safety_preferences-fact_recall-90-0000,safety_preferences,0.9,fact_recall,0,0.05,SAFETY_PREFERENCES-FACT_RECALL-90-0000-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-FACT_RECALL-90-0000-KNEELOW"", ""evidence_id"": ""HEALTH-HABIT-90-0000""}",[],221677,221041,9b57598f2b899513
safety_preferences-needle_position-90-0001,safety_preferences,0.9,needle_position,1,0.05,SAFETY_PREFERENCES-NEEDLE_POSITION-90-0001-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-NEEDLE_POSITION-90-0001-KNEELOW"", ""evidence_id"": ""HEALTH-NEEDLE-90-0001""}",[],221677,221097,85f26bbbea92ab40
safety_preferences-multi_hop-90-0002,safety_preferences,0.9,multi_hop,2,,SAFETY_PREFERENCES-MULTI_HOP-90-0002-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-MULTI_HOP-90-0002-KNEELOW"", ""chain"": [""PLAN-SAFETY_PREFERENCES-90-0002"", ""SLOT-SAFETY_PREFERENCES-90-0002"", ""ROUTINE-SAFETY_PREFERENCES-90-0002""]}",[],221677,221675,cc70a386cddf4f63
safety_preferences-instruction_following-90-0003,safety_preferences,0.9,instruction_following,3,0.1,SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-90-0003-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-90-0003-KNEELOW"", ""safety_phrase"": ""HEALTH-RULE-90-0003-NO-MEDICAL-ADVICE""}",[],221677,221035,0dc2cb91c6b29df4
safety_preferences-distractor_resistance-90-0004,safety_preferences,0.9,distractor_resistance,4,0.84,SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-90-0004-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-90-0004-KNEELOW"", ""evidence_id"": ""HEALTH-CURRENT-90-0004""}","[""OLD-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-90-0004-KNEELOW"", ""RELATED-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-90-0004-KNEELOW""]",221677,221590,95c2f6ae2111e8fc
safety_preferences-fact_recall-95-0000,safety_preferences,0.95,fact_recall,0,0.05,SAFETY_PREFERENCES-FACT_RECALL-95-0000-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-FACT_RECALL-95-0000-KNEELOW"", ""evidence_id"": ""HEALTH-HABIT-95-0000""}",[],233992,233310,1dbb17bbbb0a5fac
safety_preferences-needle_position-95-0001,safety_preferences,0.95,needle_position,1,0.05,SAFETY_PREFERENCES-NEEDLE_POSITION-95-0001-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-NEEDLE_POSITION-95-0001-KNEELOW"", ""evidence_id"": ""HEALTH-NEEDLE-95-0001""}",[],233992,233310,b8e59e1214aa2344
safety_preferences-multi_hop-95-0002,safety_preferences,0.95,multi_hop,2,,SAFETY_PREFERENCES-MULTI_HOP-95-0002-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-MULTI_HOP-95-0002-KNEELOW"", ""chain"": [""PLAN-SAFETY_PREFERENCES-95-0002"", ""SLOT-SAFETY_PREFERENCES-95-0002"", ""ROUTINE-SAFETY_PREFERENCES-95-0002""]}",[],233992,233990,c34fce8e4838108a
safety_preferences-instruction_following-95-0003,safety_preferences,0.95,instruction_following,3,0.1,SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-95-0003-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-INSTRUCTION_FOLLOWING-95-0003-KNEELOW"", ""safety_phrase"": ""HEALTH-RULE-95-0003-NO-MEDICAL-ADVICE""}",[],233992,233319,b5b4843a39d69f94
safety_preferences-distractor_resistance-95-0004,safety_preferences,0.95,distractor_resistance,4,0.84,SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-95-0004-KNEELOW,"{""answer"": ""SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-95-0004-KNEELOW"", ""evidence_id"": ""HEALTH-CURRENT-95-0004""}","[""OLD-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-95-0004-KNEELOW"", ""RELATED-SAFETY_PREFERENCES-DISTRACTOR_RESISTANCE-95-0004-KNEELOW""]",233992,233962,5b3ffe2289db7b99
