case_id,tier,category,sample_index,needle_position,expected_answer,expected_json,distractor_answers,target_prompt_tokens,estimated_prompt_tokens,prompt_hash
distractor_resistance-80-0004,0.8,distractor_resistance,4,0.82,Owner-80-0004-NOVA,"{""answer"": ""Owner-80-0004-NOVA"", ""evidence_id"": ""DISTRACTOR-AUTH-80-0004""}","[""Owner-80-0004-MIRA"", ""Owner-80-0004-SOL""]",98163,98099,3f0064776e886191
fact_recall-90-0000,0.9,fact_recall,0,0.05,FR-90-0000-KAPPA,"{""answer"": ""FR-90-0000-KAPPA"", ""evidence_id"": ""FACT-90-0000""}",[],110433,109853,c56d153df180f3aa
needle_position-90-0001,0.9,needle_position,1,0.05,ND-90-0001-ORCHID,"{""answer"": ""ND-90-0001-ORCHID"", ""evidence_id"": ""NEEDLE-90-0001""}",[],110433,109870,64cacf49fb81be2c
multi_hop-90-0002,0.9,multi_hop,2,,Reviewer-90-0002-LYRA,"{""answer"": ""Reviewer-90-0002-LYRA"", ""chain"": [""Person-90-0002"", ""Project-90-0002"", ""Track-90-0002""]}",[],110433,110407,fa5735dac5eb62ab
instruction_following-90-0003,0.9,instruction_following,3,0.1,OK-90-0003,"{""answer"": ""OK-90-0003"", ""safety_phrase"": ""RULE-90-0003-NO-COMPRESS""}",[],110433,109887,7452eed58801ee84
distractor_resistance-90-0004,0.9,distractor_resistance,4,0.82,Owner-90-0004-NOVA,"{""answer"": ""Owner-90-0004-NOVA"", ""evidence_id"": ""DISTRACTOR-AUTH-90-0004""}","[""Owner-90-0004-MIRA"", ""Owner-90-0004-SOL""]",110433,110360,dd6ff55baddfe131
fact_recall-95-0000,0.95,fact_recall,0,0.05,FR-95-0000-KAPPA,"{""answer"": ""FR-95-0000-KAPPA"", ""evidence_id"": ""FACT-95-0000""}",[],116568,116012,6a2f486ad85d8add
needle_position-95-0001,0.95,needle_position,1,0.05,ND-95-0001-ORCHID,"{""answer"": ""ND-95-0001-ORCHID"", ""evidence_id"": ""NEEDLE-95-0001""}",[],116568,115961,d1a21e8bed3e32dd
multi_hop-95-0002,0.95,multi_hop,2,,Reviewer-95-0002-LYRA,"{""answer"": ""Reviewer-95-0002-LYRA"", ""chain"": [""Person-95-0002"", ""Project-95-0002"", ""Track-95-0002""]}",[],116568,116567,793ef596069832a2
instruction_following-95-0003,0.95,instruction_following,3,0.1,OK-95-0003,"{""answer"": ""OK-95-0003"", ""safety_phrase"": ""RULE-95-0003-NO-COMPRESS""}",[],116568,116063,be842d448abebd03
distractor_resistance-95-0004,0.95,distractor_resistance,4,0.82,Owner-95-0004-NOVA,"{""answer"": ""Owner-95-0004-NOVA"", ""evidence_id"": ""DISTRACTOR-AUTH-95-0004""}","[""Owner-95-0004-MIRA"", ""Owner-95-0004-SOL""]",116568,116466,f353c95f3f6c4e5d
