case_id,health_profile,tier,category,sample_index,needle_position,expected_answer,expected_json,distractor_answers,target_prompt_tokens,estimated_prompt_tokens,prompt_hash
change_events-fact_recall-70-0000,change_events,0.7,fact_recall,0,0.05,CHANGE_EVENTS-FACT_RECALL-70-0000-CURRUN,"{""answer"": ""CHANGE_EVENTS-FACT_RECALL-70-0000-CURRUN"", ""evidence_id"": ""HEALTH-HABIT-70-0000""}",[],172415,171933,17dca63d683b657a
change_events-needle_position-70-0001,change_events,0.7,needle_position,1,0.05,CHANGE_EVENTS-NEEDLE_POSITION-70-0001-CURRUN,"{""answer"": ""CHANGE_EVENTS-NEEDLE_POSITION-70-0001-CURRUN"", ""evidence_id"": ""HEALTH-NEEDLE-70-0001""}",[],172415,171927,ed01e4a0e47dabd4
change_events-multi_hop-70-0002,change_events,0.7,multi_hop,2,,CHANGE_EVENTS-MULTI_HOP-70-0002-CURRUN,"{""answer"": ""CHANGE_EVENTS-MULTI_HOP-70-0002-CURRUN"", ""chain"": [""PLAN-CHANGE_EVENTS-70-0002"", ""SLOT-CHANGE_EVENTS-70-0002"", ""ROUTINE-CHANGE_EVENTS-70-0002""]}",[],172415,172414,a63cff4226a3064b
change_events-instruction_following-70-0003,change_events,0.7,instruction_following,3,0.1,CHANGE_EVENTS-INSTRUCTION_FOLLOWING-70-0003-CURRUN,"{""answer"": ""CHANGE_EVENTS-INSTRUCTION_FOLLOWING-70-0003-CURRUN"", ""safety_phrase"": ""HEALTH-RULE-70-0003-NO-MEDICAL-ADVICE""}",[],172415,172008,95f544c04c427b55
change_events-distractor_resistance-70-0004,change_events,0.7,distractor_resistance,4,0.84,CHANGE_EVENTS-DISTRACTOR_RESISTANCE-70-0004-CURRUN,"{""answer"": ""CHANGE_EVENTS-DISTRACTOR_RESISTANCE-70-0004-CURRUN"", ""evidence_id"": ""HEALTH-CURRENT-70-0004""}","[""OLD-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-70-0004-CURRUN"", ""RELATED-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-70-0004-CURRUN""]",172415,172413,a0501fb40f95a949
change_events-fact_recall-80-0000,change_events,0.8,fact_recall,0,0.05,CHANGE_EVENTS-FACT_RECALL-80-0000-CURRUN,"{""answer"": ""CHANGE_EVENTS-FACT_RECALL-80-0000-CURRUN"", ""evidence_id"": ""HEALTH-HABIT-80-0000""}",[],197046,196450,1f66724d5bb8ccbf
change_events-needle_position-80-0001,change_events,0.8,needle_position,1,0.05,CHANGE_EVENTS-NEEDLE_POSITION-80-0001-CURRUN,"{""answer"": ""CHANGE_EVENTS-NEEDLE_POSITION-80-0001-CURRUN"", ""evidence_id"": ""HEALTH-NEEDLE-80-0001""}",[],197046,196474,d544e5ea8e02e4d7
change_events-multi_hop-80-0002,change_events,0.8,multi_hop,2,,CHANGE_EVENTS-MULTI_HOP-80-0002-CURRUN,"{""answer"": ""CHANGE_EVENTS-MULTI_HOP-80-0002-CURRUN"", ""chain"": [""PLAN-CHANGE_EVENTS-80-0002"", ""SLOT-CHANGE_EVENTS-80-0002"", ""ROUTINE-CHANGE_EVENTS-80-0002""]}",[],197046,197043,d8f89a87a9703134
change_events-instruction_following-80-0003,change_events,0.8,instruction_following,3,0.1,CHANGE_EVENTS-INSTRUCTION_FOLLOWING-80-0003-CURRUN,"{""answer"": ""CHANGE_EVENTS-INSTRUCTION_FOLLOWING-80-0003-CURRUN"", ""safety_phrase"": ""HEALTH-RULE-80-0003-NO-MEDICAL-ADVICE""}",[],197046,196472,7209094ce980dba4
change_events-distractor_resistance-80-0004,change_events,0.8,distractor_resistance,4,0.84,CHANGE_EVENTS-DISTRACTOR_RESISTANCE-80-0004-CURRUN,"{""answer"": ""CHANGE_EVENTS-DISTRACTOR_RESISTANCE-80-0004-CURRUN"", ""evidence_id"": ""HEALTH-CURRENT-80-0004""}","[""OLD-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-80-0004-CURRUN"", ""RELATED-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-80-0004-CURRUN""]",197046,196987,d21df41f544ea5d4
change_events-fact_recall-90-0000,change_events,0.9,fact_recall,0,0.05,CHANGE_EVENTS-FACT_RECALL-90-0000-CURRUN,"{""answer"": ""CHANGE_EVENTS-FACT_RECALL-90-0000-CURRUN"", ""evidence_id"": ""HEALTH-HABIT-90-0000""}",[],221677,221014,41e800a9d8a510b7
change_events-needle_position-90-0001,change_events,0.9,needle_position,1,0.05,CHANGE_EVENTS-NEEDLE_POSITION-90-0001-CURRUN,"{""answer"": ""CHANGE_EVENTS-NEEDLE_POSITION-90-0001-CURRUN"", ""evidence_id"": ""HEALTH-NEEDLE-90-0001""}",[],221677,221102,7e89948d8d00e20b
change_events-multi_hop-90-0002,change_events,0.9,multi_hop,2,,CHANGE_EVENTS-MULTI_HOP-90-0002-CURRUN,"{""answer"": ""CHANGE_EVENTS-MULTI_HOP-90-0002-CURRUN"", ""chain"": [""PLAN-CHANGE_EVENTS-90-0002"", ""SLOT-CHANGE_EVENTS-90-0002"", ""ROUTINE-CHANGE_EVENTS-90-0002""]}",[],221677,221676,f25e8ad6359a8438
change_events-instruction_following-90-0003,change_events,0.9,instruction_following,3,0.1,CHANGE_EVENTS-INSTRUCTION_FOLLOWING-90-0003-CURRUN,"{""answer"": ""CHANGE_EVENTS-INSTRUCTION_FOLLOWING-90-0003-CURRUN"", ""safety_phrase"": ""HEALTH-RULE-90-0003-NO-MEDICAL-ADVICE""}",[],221677,221124,7d8cfb1b6ea7cd6a
change_events-distractor_resistance-90-0004,change_events,0.9,distractor_resistance,4,0.84,CHANGE_EVENTS-DISTRACTOR_RESISTANCE-90-0004-CURRUN,"{""answer"": ""CHANGE_EVENTS-DISTRACTOR_RESISTANCE-90-0004-CURRUN"", ""evidence_id"": ""HEALTH-CURRENT-90-0004""}","[""OLD-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-90-0004-CURRUN"", ""RELATED-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-90-0004-CURRUN""]",221677,221604,7ba70dcfb2da92c0
change_events-fact_recall-95-0000,change_events,0.95,fact_recall,0,0.05,CHANGE_EVENTS-FACT_RECALL-95-0000-CURRUN,"{""answer"": ""CHANGE_EVENTS-FACT_RECALL-95-0000-CURRUN"", ""evidence_id"": ""HEALTH-HABIT-95-0000""}",[],233992,233329,1ec8a516387c872b
change_events-needle_position-95-0001,change_events,0.95,needle_position,1,0.05,CHANGE_EVENTS-NEEDLE_POSITION-95-0001-CURRUN,"{""answer"": ""CHANGE_EVENTS-NEEDLE_POSITION-95-0001-CURRUN"", ""evidence_id"": ""HEALTH-NEEDLE-95-0001""}",[],233992,233355,3823cd77e10a4d0d
change_events-multi_hop-95-0002,change_events,0.95,multi_hop,2,,CHANGE_EVENTS-MULTI_HOP-95-0002-CURRUN,"{""answer"": ""CHANGE_EVENTS-MULTI_HOP-95-0002-CURRUN"", ""chain"": [""PLAN-CHANGE_EVENTS-95-0002"", ""SLOT-CHANGE_EVENTS-95-0002"", ""ROUTINE-CHANGE_EVENTS-95-0002""]}",[],233992,233991,6c57d1087aa131c2
change_events-instruction_following-95-0003,change_events,0.95,instruction_following,3,0.1,CHANGE_EVENTS-INSTRUCTION_FOLLOWING-95-0003-CURRUN,"{""answer"": ""CHANGE_EVENTS-INSTRUCTION_FOLLOWING-95-0003-CURRUN"", ""safety_phrase"": ""HEALTH-RULE-95-0003-NO-MEDICAL-ADVICE""}",[],233992,233360,64324664b0b6209a
change_events-distractor_resistance-95-0004,change_events,0.95,distractor_resistance,4,0.84,CHANGE_EVENTS-DISTRACTOR_RESISTANCE-95-0004-CURRUN,"{""answer"": ""CHANGE_EVENTS-DISTRACTOR_RESISTANCE-95-0004-CURRUN"", ""evidence_id"": ""HEALTH-CURRENT-95-0004""}","[""OLD-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-95-0004-CURRUN"", ""RELATED-CHANGE_EVENTS-DISTRACTOR_RESISTANCE-95-0004-CURRUN""]",233992,233900,cd4d85d08a9755aa
